Sale Type,SKU,Name,Summer - Sale Price DR,Summer - Sale Price TW,Summer - Sale Price OR,% off list DR,% off list TW,% off list OR
Overstock,ARC66-NKL,Arcade Nickel Black Lever,39.99,39.99,,0.3334,0.3334,
Overstock,27439BBL,Just Taps VOS Bath/Basin Spout 250mm - Brushed Black,84.99,84.99,,0.1905,0.1905,
Overstock,TO450DC,Crosswater Totti II 5 Hole Deck Mounted Bath Filler Tap with Shower Handset,344.99,344.99,,0.1939,0.1939,
Overstock,OFF271,(DC) Drift Bath End Panel for 750mm Bath - (730x480/100mm),34.99,34.99,,0.5001,0.5001,
Overstock,MPC111,(DC) Premier Athena 700mm Bath Front Panel - Driftwood (Drench Emily),34.99,34.99,,0.5001,0.5001,
Overstock,MPD511,(DC) Emily 700mm Bath End Panel - Brown Grey Avola,49.99,49.99,,0.2858,0.2858,
Overstock,OFF979,Erin L-Shaped Square End Bath Panel - Gloss Grey,47.99,47.99,,0.2,0.2,
Overstock,TCK-022-0300,Thermogroup Vario EZ Cable Kit 3 Exc. 5259 Tstat - No thermostat,184.99,184.99,209.99,0.1957,0.1957,0.087
Overstock,TGETAN002,(DC) Terma Artistic Thermostatic Valve Set & Lock Shield For Cast Iron Radiators,179.99,179.99,199.99,0.1429,0.1429,0.0476
Overstock,TFVIBRAD4-MUL,The Tap Factory Vibrance Radiator 1800H x 236W - Mulberry,289.99,289.99,354.99,0.2564,0.2564,0.0897
Overstock,BOL1-P,Aeon Bolero Stainless Steel Vertical Designer Heated Towel Rail Radiator - Polished - 630x300,954.99,954.99,954.99,0.0956,0.0956,0.0956
Overstock,COM10L-S,(DC) Aeon Combe Vertical Designer Heated Towel Rail Radiator - Left Hand - Brushed - 920x500,989.99,989.99,989.99,0.1,0.1,0.1
Overstock,CUB2-147/15H-W,DQ Heating Cube Double Panel Mild Steel Horizontal Designer Radiator - White - 600x1471,"1,064.99","1,064.99","1,064.99",0.0982,0.0982,0.0982
Overstock,Elec-Siena-50/70-P,DQ Heating Siena Electric Only Vertical Heated Towel Rail Radiator - Polished - 700x500,299.99,299.99,299.99,0.0964,0.0964,0.0964
Overstock,ENZO-MAN-P,DQ Heating Enzo Luxury Manual Radiator Valve - Angled - Pewter,119.99,119.99,119.99,0.0698,0.0698,0.0698
Overstock,HE300d,Aeon Dry Radiator Heating Element Kit with 1500C Thermostat - 300W - 650mm Rod,69.99,69.99,69.99,0.0411,0.0411,0.0667
Overstock,LA108-S,Aeon Labren Stainless Steel Wall Mounted Vertical Designer Radiator - Brushed - 975x800,"1,339.99","1,339.99","1,339.99",0.0976,0.0976,0.0976
Overstock,SK-130-AC,DQ Heating 130mm Radiator Sleeving Kit - Antique Copper,35.99,35.99,35.99,0.1,0.1,0.1
Overstock,VENTB15-P,Aeon Venetian Clip-on Towel Bar - Polished - 40x380,129.99,129.99,129.99,0.037,0.037,0.037
Overstock,VUL1-57/13H-W,DQ Heating Vulcano Single Panel Mild Steel Horizontal Designer Radiator - White - 520x571,249.99,249.99,249.99,0.0975,0.0975,0.0975
Overstock,DRIFTER150/5H-WA,(DC) DQ Heating Drifter White Horizontal Designer Radiator - 410 x 1500mm,629.99,629.99,629.99,0.0935,0.0935,0.0935
Overstock,DRIFTER120/5H-WA,(DC) DQ Heating Drifter White Horizontal Designer Radiator - 410 x 1200mm - *SPECIAL ORDER*,629.99,629.99,629.99,0.0455,0.0455,0.0455
Overstock,Axial54/180-W,(DC) DQ Heating Axial White Heated Towel Rail Radiator - 1780 x 540mm,404.99,404.99,404.99,,,0.1
Overstock,TOR2-147/6V-A,DQ Heating Tornado Double Panel Mild Steel Vertical Designer Radiator - Anthracite Texture - 1471x456,659.99,659.99,659.99,0.0996,0.0996,0.0996
Overstock,10075og,(DC) iGlass 6mm Glass Splashback - 1000mm x 750mm - Orange,184.99,184.99,,0.1991,0.1991,
Overstock,BLANCO526201,Blanco Select II 50/2 38 litre 2 Container Waste Organiser for 500mm Kitchen Cabinets,,269.99,,,0.1,
Overstock,EPPR-50-0545,Abacus Lustrolite Glass-Effect Flush Plates - Mocha,94.99,94.99,,0.1593,0.1593,
Overstock,WAVE-CB,(DC) Reginox Wave Midnight Sky Stainless Steel Sink,,299.99,,,0.0654,
Overstock,AOHRCPUK,Methven Aurajet Aio Hi-Rise Shower Head - Chrome,199.99,199.99,,0.2,0.2,
Overstock,ARCV23-CHR,Arcade Chrome Soap Basket for Vertical Riser,35.99,35.99,39.99,0.2001,0.2001,0.1111
Overstock,CH/192/C,Sagittarius Churchman Concealed Thermostatic Shower Valve,264.99,264.99,299.99,0.197,0.197,0.0909
Overstock,BTSVT004,Hudson Reed Black Topaz Twin Concealed Thermostatic Shower Valve With Diverter - Chrome/Black,234.99,234.99,264.99,0.198,0.198,0.0956
Overstock,T3,Burlington Trent Birkenhead Valve Handle (Pair),41.99,41.99,44.99,0.16,0.16,0.1
Overstock,TRL002T,Crosswater Tranquil Halo Light - Slate,129.99,129.99,144.99,0.1875,0.1875,0.0938
Overstock,NOT-109FS/A-220-C/P,Vado Notion Wall Mounted Single Lever Basin Mixer with Extended Spout 220mm,289.99,289.99,289.99,0.0397,0.0397,0.0397
Overstock,115.788.21.2,Geberit Metal Sigma50 Dual Flush Plate - Gloss Chrome,344.99,344.99,324.99,0.0417,0.0417,0.0972
Overstock,PRDBC1000,(DC) Crosswater Design+ Matt Black 6mm Easy Clean Hinged Shower Door - 1000mm,824.99,824.99,784.99,0.0484,0.0484,0.0946
Overstock,HOX.054CP,Britton Bathrooms Hoxton Toilet Brush Holder - Chrome,56.99,56.99,54.99,0.05,0.05,0.0834
Overstock,PHO-185-C/P,Vado Photon Clear Glass Shelf,99.99,99.99,104.99,0.0566,0.0566,0.0094
Overstock,PK328,Hudson Reed Round Wall Mounted Basin/Bath Filler,134.99,134.99,134.99,0.069,0.069,0.069
Overstock,FLR001,Chestnut Finish Vinyl Plank Flooring 12 Piece Pack - Approx. 2.65m²,64.99,64.99,64.99,0.0714,0.0714,0.0714
Overstock,TAP249L,(DC) Harbour Status Chrome Wall Mounted Bath Mixer Tap,119.99,119.99,119.99,0.0769,0.0769,0.0769
Overstock,LL.3000.LLB2,Origins Living Metro Wall/Mirror Light - Black,59.99,59.99,59.99,0.0769,0.0769,0.0769
Overstock,NCS830,Richmond Bidet 1TH - (Butler & Rose Catherine),164.99,164.99,164.99,0.0833,0.0833,0.0833
"Overstock, Hero - Big Discount",AURA-800x600,Aura LED Mirror with Demister Pad & Shaver Socket - 800 x 600mm (Harbour Clarity),209.99,209.99,209.99,0.087,0.087,0.087
Overstock,TFVIBBMBG,The Tap Factory Vibrance Brushed Brass Mono Basin Mixer and Basin Waste,154.99,154.99,154.99,0.0882,0.0882,0.0882
Overstock,TVS00001800076,Villeroy & Boch Universal Exposed Square Thermostatic Shower Mixer - Brushed Gold,349.99,349.99,329.99,0.0437,0.0437,0.0984
Overstock,GRE113BB,Britton Bathrooms Greenwich 2 Tap Hole Bath Shower Mixer - Brushed Brass,289.99,289.99,289.99,0.0938,0.0938,0.0938
"Overstock, Hero - Big Discount",BYTAPSET8,The Tap Factory Vanto Filtered Cold & Instant Boiling Water Tap with WRAS-Approved Boiler & Filter - Matt Black,,449.99,449.99,,0.1,0.1
Overstock,FNTBAS,Flova Fusion Tall Mono Basin Mixer with Clicker Waste,269.99,269.99,269.99,0.1,0.1,0.1
Overstock,DEC181BBL,Just Taps Decor Single Lever Mono Kitchen Mixer Tap - Gunmetal,,179.99,,,0.1,
Overstock,DEC181MB,Just Taps Decor Single Lever Mono Kitchen Mixer Tap - Matt Black,,179.99,,,0.1,
"Overstock, Hero - Big Discount",MIRROR006,Vellamo LED Illuminated Universal Bathroom Mirror with Demister Pad - 700mm x 500mm (Vivid),134.99,134.99,134.99,0.1,0.1,0.1
